2.100,Al
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,Cu
1.200,CuW
6.000,Cu
1.200,CuW
1.200,Cu
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,Cu
1.200,CuW
6.000,Cu
1.200,CuW
1.200,Cu
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,Cu
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
0.300,Fe
4.900,Pb
0.300,Fe
1.600,PCB
0.100,Si
0.100,Si
0.100,Si
0.010,Kapton
1.200,CuW
6.000,Cu
1.200,CuW
0.010,Kapton
0.100,Si
0.100,Si
0.100,Si
1.600,PCB
2.100,Al
